country	Population (2020)	Density (P/Km²)	Land Area (Km²)	Migrants (net)	Med. Age	Urban Pop %
U.S. Virgin Islands	104425	298	350	-451	43	96
Seychelles	98347	214	460	-200	34	56
Antigua and Barbuda	97929	223	440	0	34	26
Isle of Man	85033	149	570		N.A.	53
Andorra	77265	164	470		N.A.	88
Dominica	71986	96	750		N.A.	74
Cayman Islands	65722	274	240		N.A.	97
Bermuda	62278	1246	50		N.A.	97
Marshall Islands	59190	329	180		N.A.	70
Northern Mariana Islands	57559	125	460		N.A.	88
Greenland	56770	0	410450		N.A.	87
American Samoa	55191	276	200		N.A.	88
Saint Kitts and Nevis	53199	205	260		N.A.	33
Faeroe Islands	48863	35	1396		N.A.	43
Sint Maarten	42876	1261	34		N.A.	96
Monaco	39242	26337	1		N.A.	N.A.
Turks and Caicos	38717	41	950		N.A.	89
Saint Martin	38666	730	53		N.A.	0
Liechtenstein	38128	238	160		N.A.	15
San Marino	33931	566	60		N.A.	97
Gibraltar	33691	3369	10		N.A.	N.A.
British Virgin Islands	30231	202	150		N.A.	52
Caribbean Netherlands	26223	80	328		N.A.	75
Palau	18094	39	460		N.A.	N.A.
Cook Islands	17564	73	240		N.A.	75
Anguilla	15003	167	90		N.A.	N.A.
Tuvalu	11792	393	30		N.A.	62
Wallis & Futuna	11239	80	140		N.A.	0
Nauru	10824	541	20		N.A.	N.A.
Saint Barthelemy	9877	470	21		N.A.	0
Saint Helena	6077	16	390		N.A.	27
Saint Pierre & Miquelon	5794	25	230		N.A.	100
Montserrat	4992	50	100		N.A.	10
Falkland Islands	3480	0	12170		N.A.	66
Niue	1626	6	260		N.A.	46
Tokelau	1357	136	10		N.A.	0
Holy See	801	2003	0		N.A.	N.A.
